Author,Word,Count
Nephi,father,169
Nephi,words,168
Nephi,israel,134
Nephi,brethren,123
Nephi,know,120
Nephi,away,114
Nephi,earth,112
Nephi,nephi,111
Nephi,children,111
Nephi,according,107
Nephi,must,103
Nephi,holy,101
Nephi,beheld,95
Nephi,seed,95
Nephi,house,93
Nephi,thee,92
Nephi,spake,91
Nephi,would,89
Nephi,power,85
Nephi,wilderness,84
Jacob,vineyard,91
Jacob,fruit,68
Jacob,branches,49
Jacob,tree,43
Jacob,good,32
Jacob,servant,30
Jacob,natural,29
Jacob,away,28
Jacob,brethren,28
Jacob,time,27
Jacob,much,27
Jacob,christ,25
Jacob,according,25
Jacob,word,24
Jacob,brought,24
Jacob,nephi,22
Jacob,words,21
Jacob,jacob,20
Jacob,might,20
Jacob,last,20
Enos,faith,10
Enos,enos,6
Enos,according,6
Enos,lamanites,6
Enos,would,6
Enos,heard,5
Enos,father,4
Enos,soul,4
Enos,brethren,4
Enos,nephites,4
Enos,continually,4
Enos,blessed,3
Enos,words,3
Enos,voice,3
Enos,thee,3
Enos,away,3
Enos,christ,3
Enos,began,3
Enos,save,3
Enos,preserve,3
Jarom,write,5
Jarom,according,5
Jarom,exceedingly,5
Jarom,face,5
Jarom,plates,4
Jarom,lamanites,4
Jarom,kept,3
Jarom,written,3
Jarom,fathers,3
Jarom,much,3
Jarom,faith,3
Jarom,nephi,3
Jarom,keep,3
Jarom,manner,3
Jarom,word,3
Jarom,commandments,3
Jarom,jarom,2
Jarom,small,2
Jarom,intent,2
Jarom,brethren,2
Various,words,21
Various,mormon,21
Various,plates,16
Various,king,16
Various,mosiah,13
Various,benjamin,13
Various,according,12
Various,zarahemla,11
Various,concerning,10
Various,hands,8
Various,lamanites,8
Various,wilderness,8
Various,write,7
Various,somewhat,7
Various,would,7
Various,record,7
Various,nephi,7
Various,time,7
Various,know,6
Various,much,6
Mormon,lamanites,647
Mormon,among,445
Mormon,would,437
Mormon,king,422
Mormon,words,412
Mormon,might,365
Mormon,brethren,353
Mormon,according,340
Mormon,nephites,340
Mormon,began,335
Mormon,nephi,301
Mormon,father,297
Mormon,know,295
Mormon,city,295
Mormon,time,282
Mormon,year,269
Mormon,alma,248
Mormon,power,245
Mormon,earth,239
Mormon,could,219
Moroni,jared,87
Moroni,christ,84
Moroni,brother,75
Moroni,faith,75
Moroni,father,73
Moroni,coriantumr,63
Moroni,would,56
Moroni,power,53
Moroni,children,52
Moroni,good,46
Moroni,kingdom,45
Moroni,days,42
Moroni,face,41
Moroni,sons,41
Moroni,begat,41
Moroni,exceedingly,39
Moroni,began,39
Moroni,name,38
Moroni,manner,38
Moroni,know,38
